<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	06:00:00	1.12132	1.12143	1.12008	1.12043	1587	0	1
2020.01.02	08:00:00	1.12043	1.12102	1.12037	1.12098	2522	0	1
2020.01.02	10:00:00	1.12098	1.12140	1.12011	1.12029	3315	0	1
2020.01.02	12:00:00	1.12029	1.12037	1.11842	1.11847	3415	0	1
2020.01.02	14:00:00	1.11847	1.11969	1.11830	1.11962	3625	0	1
2020.01.02	16:00:00	1.11961	1.12023	1.11700	1.12004	6294	0	1
2020.01.02	18:00:00	1.12004	1.12030	1.11635	1.11698	4764	0	1
2020.01.02	20:00:00	1.11698	1.11720	1.11636	1.11662	2862	0	1
2020.01.02	22:00:00	1.11662	1.11733	1.11659	1.11722	2020	0	1
2020.01.03	00:00:00	1.11722	1.11734	1.11683	1.11708	667	0	1
2020.01.03	02:00:00	1.11708	1.11784	1.11697	1.11736	1459	0	1
2020.01.03	04:00:00	1.11736	1.11774	1.11696	1.11721	2640	0	1
2020.01.03	06:00:00	1.11719	1.11748	1.11644	1.11663	1799	0	1
2020.01.03	08:00:00	1.11663	1.11714	1.11520	1.11531	3564	0	1
2020.01.03	10:00:00	1.11531	1.11604	1.11399	1.11400	5158	0	1
2020.01.03	12:00:00	1.11400	1.11434	1.11250	1.11298	4581	0	1
2020.01.03	14:00:00	1.11298	1.11487	1.11281	1.11382	4150	0	1
2020.01.03	16:00:00	1.11382	1.11673	1.11353	1.11634	6503	0	1
2020.01.03	18:00:00	1.11634	1.11797	1.11624	1.11720	3735	0	1
2020.01.03	20:00:00	1.11720	1.11732	1.11612	1.11673	3620	0	1
2020.01.03	22:00:00	1.11673	1.11673	1.11520	1.11558	1573	0	1
2020.01.06	00:00:00	1.11646	1.11675	1.11582	1.11603	1935	0	1
2020.01.06	02:00:00	1.11603	1.11682	1.11600	1.11627	2495	0	1
2020.01.06	04:00:00	1.11627	1.11709	1.11622	1.11658	1653	0	1
2020.01.06	06:00:00	1.11658	1.11662	1.11605	1.11623	1412	0	1
2020.01.06	08:00:00	1.11623	1.11666	1.11571	1.11644	2747	0	1
2020.01.06	10:00:00	1.11647	1.11936	1.11630	1.11932	4418	0	1
